model,pos_final,pos_mean,pos_max,yaw_rmse,speed_rmse,AUEC,drift_b,t_div
BASELINE,0.12063335024410894,0.05821179439229001,0.12063335024410894,0.046408159680232555,0.008085796947404876,0.10361699402053795,0.07357626017456574,
k=1,0.2570750920052638,0.15812763167447966,0.2570750920052638,0.3029721003275001,0.008085796947404876,0.2814671843867176,0.17213196065608802,
k=5,0.19054135736127614,0.11375133363256355,0.19054135736127614,0.20043651287693556,0.008085796947404876,0.20247737387038278,0.12372039976527179,
k=10,0.2069846565741568,0.10959788113850176,0.2069846565741568,0.24542394098209444,0.008085796947404876,0.1950842284307914,0.15228234684376055,
