model,pos_final,pos_mean,pos_max,yaw_rmse,speed_rmse,AUEC,drift_b,t_div
BASELINE,0.12063335024410894,0.05821179439229001,0.12063335024410894,0.046408159680232555,0.008085796947404876,0.10361699402053795,0.07357626017456574,
k=1,0.11932046834899747,0.05580156388672983,0.11932046834899747,0.042407082084523554,0.008085796947404876,0.09932678372054718,0.07320281451819245,
k=5,0.10955174858534708,0.05750136361965432,0.10955174858534708,0.4500887926658025,0.008085796947404876,0.10235242724521883,0.0664487307473986,
k=10,0.11999270730475362,0.05219162461543729,0.11999270730475362,0.04443658518506188,0.008085796947404876,0.0929010918175062,0.07684362354217293,
