Baseline,K=1,K=5,K=10
0,0,0,0
0.001436123161985,0.001436123161985,0.001436123161985,0.001436123161985
0.001916346030651,0.001916346030651,0.001916346030651,0.001916346030651
0.00189809770349,0.00189809770349,0.00189809770349,0.00189809770349
0.002540478821695,0.002540478821695,0.002540478821695,0.002540478821695
0.003836078433575,0.003836078433575,0.003836078433575,0.003836078433575
0.005028036327347,0.005028036327347,0.005028036327347,0.005028036327347
0.006092631992664,0.006092631992664,0.006092631992664,0.006092631992664
0.006980761702013,0.006980761702013,0.006980761702013,0.006980761702013
0.007736850154578,0.007736850154578,0.007736850154578,0.007736850154578
0.007962633988575,0.007962633988575,0.007962633988575,0.007962633988575
0.007937437954527,0.007937437660819,0.007937442769023,0.007937437477804
0.008584724184803,0.008584722915152,0.008584767403093,0.008584721615103
0.009899121464124,0.009899118585635,0.009899286123005,0.009899114307113
0.010294904497155,0.010294898721051,0.010295381485071,0.0102948876804
0.01027325534627,0.010273244150234,0.010274428433455,0.010273219910781
0.010571578228663,0.010571557454779,0.010574009220764,0.010571512105494
0.011198261129739,0.011198224534616,0.011202631970422,0.011198149263237
0.011777118739912,0.011777056780335,0.011784334474851,0.011776939424063
0.01230364546019,0.012303545209212,0.012314821855895,0.01230337069776
0.012640757401511,0.012640600442837,0.012657408852795,0.012640347969742
0.012877630621519,0.012877393072532,0.012901577753439,0.012877037677227
0.012936583774665,0.012936231959386,0.012970224548334,0.012935739842382
0.012904455436321,0.012903946095672,0.012950573205154,0.01290327701779
0.01291329186031,0.012912575230737,0.012974687044456,0.012911687481757
0.012970445401254,0.012969462934239,0.013050048835955,0.012968310816325
0.013006033588511,0.013004710268028,0.013107309622122,0.013003236868177
0.013024491529402,0.013022736268689,0.013151141836624,0.01302087662647
0.013027710741433,0.013025414133121,0.013183657493062,0.013023094011869
0.013014725149152,0.0130117571025,0.013204147536898,0.013008891947958
0.012998701382209,0.012994912060014,0.013225839927049,0.012991408855544
0.012965229869923,0.012960442426543,0.013234856698066,0.012956192977142
0.01281177570097,0.012805742895039,0.013131563416393,0.012800586492853
0.012548944156988,0.012541358438633,0.012928182423007,0.012535097895906
0.012451351302104,0.01244201055594,0.012892165543155,0.012434555089953
0.012415972420022,0.012404610749594,0.012921980889515,0.012395832292947
0.012384149902679,0.012370435496874,0.01296077351711,0.012360163752893
0.012353505704669,0.012337077216377,0.013006801724869,0.012325124740635
