Baseline,K=1,K=5,K=10
0,0,0,0
1.16946272541434E-05,1.16946272541434E-05,1.16946272541434E-05,1.16946272541434E-05
1.52024531758878E-05,1.52024531758878E-05,1.52024531758878E-05,1.52024531758878E-05
1.83919720350351E-05,1.83919720350351E-05,1.83919720350351E-05,1.83919720350351E-05
2.15307266024449E-05,2.15307266024449E-05,2.15307266024449E-05,2.15307266024449E-05
2.45349049032928E-05,2.45349049032928E-05,2.45349049032928E-05,2.45349049032928E-05
2.75257797997123E-05,2.75257797997123E-05,2.75257797997123E-05,2.75257797997123E-05
3.05094559247591E-05,3.05094559247591E-05,3.05094559247591E-05,3.05094559247591E-05
3.34848763780669E-05,3.34848763780669E-05,3.34848763780669E-05,3.34848763780669E-05
3.64528766030905E-05,3.64528766030905E-05,3.64528766030905E-05,3.64528766030905E-05
3.94087105712032E-05,3.94087105712032E-05,3.94087105712032E-05,3.94087105712032E-05
4.23441831008734E-05,4.23442176852014E-05,4.23442012732994E-05,4.23442073324188E-05
4.52795357740319E-05,4.52796344408075E-05,4.52795885409031E-05,4.52796056302706E-05
4.82358846148185E-05,4.82360734096972E-05,4.82359871600797E-05,4.82360195174746E-05
5.11792262742669E-05,5.11795279691819E-05,5.1179392380945E-05,5.11794436013306E-05
5.40994682822186E-05,5.40999026216414E-05,5.40997102973171E-05,5.40997834084857E-05
5.69992528474298E-05,5.69998371794354E-05,5.69995819275786E-05,5.69996795221129E-05
5.98534688265182E-05,5.98542166186981E-05,5.98538940650339E-05,5.98540180618357E-05
6.27212378237527E-05,6.2722164214983E-05,6.27217692923284E-05,6.27219218771954E-05
6.56764928612387E-05,6.56776202380516E-05,6.56771447399361E-05,6.56773293022326E-05
6.78508355562366E-05,6.78520906260121E-05,6.7851568484809E-05,6.78517723988775E-05
6.7295838685501E-05,6.72968163767835E-05,6.72964262918309E-05,6.72965817102827E-05
6.69567999219556E-05,6.69573323600585E-05,6.69571480851788E-05,6.69572269721031E-05
7.46251136066822E-05,7.4626618010273E-05,7.46260254278933E-05,7.46262627311127E-05
8.12745602565885E-05,8.12769639190827E-05,8.12759986845734E-05,8.12763814262557E-05
8.42019379072961E-05,8.42046055863102E-05,8.42035434912684E-05,8.42039662451017E-05
8.69840015959335E-05,8.69869296099977E-05,8.69857733262965E-05,8.69862352483972E-05
8.97515680940719E-05,8.97547633532453E-05,8.97535118512938E-05,8.9754013661508E-05
9.25116560751761E-05,9.25151264368251E-05,9.25137783427719E-05,9.25143209037359E-05
9.5264287801735E-05,9.52680412003918E-05,9.52665951737435E-05,9.52671793439345E-05
9.80249852957149E-05,9.80290340606043E-05,9.8027486953363E-05,9.80281143005626E-05
0.00010084420986,0.000100848585418,0.000100846926029,0.000100847601234
0.000102903614842,0.000102908054616,0.000102906396556,0.000102907076141
0.000102356983842,0.000102360401461,0.000102359206873,0.000102359712686
0.000101961999454,0.000101964163152,0.000101963532034,0.000101963825774
0.000109244874188,0.000109249198052,0.000109247693324,0.000109248331529
0.000115728217541,0.000115734437329,0.000115732175317,0.00011573311378
0.000118585405757,0.000118592005945,0.000118589624294,0.000118590616022
0.000121299437115,0.000121306410588,0.000121303912824,0.000121304956542
0.000124002133965,0.000124009489146,0.000124006874266,0.000124007970793
0.00012668162334,0.000126689360887,0.000126686631203,0.000126687780084
0.000129307820156,0.000129315919088,0.000129313086034,0.000129314283283
0.000131241535135,0.000131249592489,0.000131246826887,0.000131248006565
0.000130701393664,0.000130707777613,0.000130705762231,0.000130706659277
0.000130347692,0.000130352187628,0.000130351015536,0.000130351594372
0.000137399460042,0.000137407118374,0.000137404696568,0.000137405773189
0.000142905531794,0.000142915364574,0.000142912108722,0.000142913522112
0.000142497173592,0.000142505076191,0.000142502685721,0.000142503773102
0.000142264989138,0.000142270832051,0.000142269361724,0.000142270101951
0.000149127699996,0.000149137040468,0.000149134200801,0.000149135488685
0.000155111177025,0.000155123401621,0.000155119451517,0.000155121186918
0.00015777723954,0.000157789911394,0.000157785853113,0.00015778764402
0.000160314446631,0.000160327553958,0.000160323392,0.00016032523659
0.000162844245158,0.00016285779438,0.00016285352937,0.000162855427967
0.000164704851298,0.000164718257812,0.000164714133079,0.000164715991021
0.000164172744485,0.000164183710936,0.000164180672333,0.000164182119887
0.000163782983787,0.000163791269726,0.00016378942158,0.000163790418904
0.000168510857232,0.000168521364318,0.000168518710329,0.000168520041543
0.000173315616809,0.000173328455485,0.00017332495787,0.000173326639054
0.000177967618438,0.000177982838022,0.000177978476648,0.00017798051568
0.00018141434083,0.000181430882205,0.000181426088374,0.000181428315831
0.000180945120469,0.000180958857222,0.000180955311004,0.000180957066947
0.000180565654117,0.000180576349721,0.00018057415186,0.000180575397514
0.000187195737087,0.000187211279139,0.000187207236824,0.000187209229562
0.000193008188033,0.000193027717115,0.000193022185816,0.000193024786956
0.00019547910192,0.000195499072697,0.000195493483603,0.000195496128835
0.000197844255614,0.000197864671566,0.000197859021385,0.000197861711673
0.000200325390748,0.000200346407758,0.000200340637465,0.000200343396768
0.000202799281699,0.000202820909222,0.000202815019012,0.000202817847961
0.00020526066203,0.000205282908545,0.000205276898772,0.000205279797891
0.000207045242324,0.000207067262813,0.000207061477882,0.000207064311965
0.000206528772126,0.000206547452278,0.000206543150892,0.000206545423973
0.000206222289882,0.00020623750964,0.000206234749325,0.000206236440341
0.000212628901392,0.00021264976771,0.000212644904025,0.000212647455362
0.000217598921813,0.000217623530778,0.000217617334801,0.000217620442884
0.000217197771445,0.000217218849099,0.000217214228699,0.000217216742146
