gt_x,gt_y,K=1_pred_x,K=1_pred_y,K=5_pred_x,K=5_pred_y,K=10_pred_x,K=10_pred_y,baseline_pred_x,baseline_pred_y
11.5316959761622,20.0419251499854,11.5316959761622,20.0419251499854,11.5316959761622,20.0419251499854,11.5316959761622,20.0419251499854,11.5316959761622,20.0419251499854
11.5267618788095,20.0295778174317,11.5272947591501,20.0309114171763,11.5270283189798,20.030244617304,11.5272947591501,20.0309114171763,11.5272947591501,20.0309114171763
11.5221353824007,20.0180003614634,11.5228464715332,20.019779893524,11.5224909269669,20.0188901274937,11.5228464715332,20.019779893524,11.5228464715332,20.019779893524
11.5176585381721,20.0067974612685,11.5183628847835,20.0085600363004,11.5180107114778,20.0076787487845,11.5183628847835,20.0085600363004,11.5183628847835,20.0085600363004
11.5129187689993,19.9949365461484,11.513861497335,19.9972956340927,11.5133901331671,19.9961160901205,11.513861497335,19.9972956340927,11.513861497335,19.9972956340927
11.5079157602359,19.9824168286463,11.5093392444599,19.985979017638,11.5086275023479,19.9841979231421,11.5093392444599,19.985979017638,11.5093392444599,19.985979017638
11.5029127514725,19.9698971111442,11.5047785322314,19.9745661593843,11.503845641852,19.9722316352642,11.5047785322314,19.9745661593843,11.5047785322314,19.9745661593843
11.4979097427092,19.957377393642,11.500170558446,19.963035032443,11.4990401505776,19.9602062130425,11.500170558446,19.963035032443,11.500170558446,19.963035032443
11.4929249434702,19.9449032787572,11.4955153231387,19.9513856369017,11.4942201333045,19.9481444578294,11.4955153231387,19.9513856369017,11.4955153231387,19.9513856369017
11.48794736407,19.9324472447146,11.4908183145439,19.9396317066771,11.4893828393069,19.9360394756958,11.4908183145439,19.9396317066771,11.4908183145439,19.9396317066771
11.4831324419266,19.9203983041679,11.4860871968916,19.9277924209598,11.4846098194091,19.9240953625638,11.4860871968916,19.9277924209598,11.4860871968916,19.9277924209598
11.4783855304092,19.9085195784893,11.4813322014644,19.9158897919403,11.4798549003205,19.9122062709761,11.4813309640792,19.9158902863393,11.4813329651522,19.9158894868821
11.4733736590904,19.8959777204055,11.4765630239456,19.903948003923,11.4749554134309,19.8999680350607,11.4765592847028,19.9039494977899,11.4765645795208,19.9039473826402
11.4680945965543,19.8827671452048,11.471775449441,19.891956479827,11.4699076611103,19.8873727682194,11.4717679336117,19.8919594821725,11.4717777200286,19.8919555731027
11.4631224882381,19.8703248284597,11.4669552864201,19.8798796491159,11.4649908133581,19.8751215024352,11.4669426994967,19.8798846766955,11.4669583231164,19.8798784366468
11.4582743166561,19.8581927059972,11.4621054700744,19.8677248520754,11.4601138981901,19.8629892578513,11.4620865158342,19.8677324221755,11.4621095282402,19.8677232320853
11.453290620699,19.8457213810676,11.4572401087128,19.8555274695563,11.4551540029485,19.8506691304895,11.4572135170083,19.8555380889039,11.4572457056354,19.8555252358906
11.4481706888986,19.8329090729447,11.4523616036358,19.8432935067951,11.4501122918368,19.8381631112769,11.4523261029421,19.8433076825176,11.4523694241558,19.8432903866655
11.4430507570982,19.8200967648218,11.447466638595,19.8310145968875,11.4450555702958,19.8256373747879,11.4474209338192,19.831032845364,11.4474774243598,19.8310102950834
11.4379308252978,19.8072844566989,11.4425535570381,19.8186865431735,11.4399831700871,19.813089763771,11.4424963353683,19.8187093876975,11.4425680756115,19.8186807543933
11.4328617550883,19.7945994599289,11.4376223695954,19.8063093416136,11.4349205550428,19.8005839266942,11.4375523076047,19.8063373095568,11.4376414140089,19.8063017506571
11.4278130410525,19.7819654165789,11.4326756537504,19.7938894364588,11.4298538641044,19.7880848706725,11.4325914259865,19.7939230558427,11.4327000531859,19.7938797139914
11.4228171082363,19.7694635088472,11.4277170129885,19.7814358532595,11.4248013750593,19.7756375971511,11.4276172967311,19.7814756508579,11.4277476657123,19.78142364274
11.4178425650667,19.7570151492183,11.4227472696651,19.7689506298388,11.4197481476218,19.7632036944198,11.4226307352233,19.7689971350449,11.4227851345879,19.768935550916
11.4128401405091,19.7444969580897,11.4177661319523,19.7564330046458,11.4146697107077,19.7507209679598,11.4176314388003,19.7564867510116,11.4178122071479,19.7564146617279
11.4078085916106,19.7319058223714,11.4127750820451,19.7438866796683,11.4095664852903,19.7381895914209,11.4126208871537,19.7439482015813,11.4128304096526,19.7438646600014
11.4027770427122,19.7193146866532,11.4077773173112,19.7313196749118,11.4044550291539,19.7256498861674,11.4076022840828,19.7313895040334,11.4078430146264,19.7312935362754
11.3977454938138,19.706723550935,11.4027744736608,19.7187360869546,11.3993366241986,19.7131037105725,11.4025772664165,19.7188147544167,11.4028517415079,19.7187053543921
11.3927132418997,19.6941306889298,11.3977665568917,19.7061359136645,11.3942113444647,19.7005500265069,11.3975458341602,19.7062239527443,11.3978566595708,19.7061000874871
11.3876806998902,19.6815371145819,11.392753607773,19.6935192441299,11.3890797464614,19.6879892496344,11.3925080235681,19.6936171897398,11.3928578523054,19.6934778081789
11.382643029631,19.6689307612759,11.3877356811669,19.680886205215,11.383939669846,19.6754153148146,11.3874638858526,19.6809945935585,11.387855406228,19.6808386312716
11.3776033286671,19.6563193477073,11.3827105163562,19.6682310940864,11.3787915482915,19.6628292242099,11.3824111445377,19.6683504674813,11.3828470566539,19.6681768559776
11.3725965295266,19.6437901824242,11.3776749360683,19.6555458975489,11.3736509919586,19.650270737834,11.3773466008184,19.6556768067257,11.3778295794969,19.6554844880736
11.3676222739094,19.6313423697446,11.3726324660981,19.6428394844139,11.3685194644317,19.6377438949033,11.3722737962081,19.6429824736774,11.3728064934072,19.6427703996559
11.362587356594,19.618742877535,11.3675919040611,19.6301340202048,11.3633552571775,19.6251430581412,11.367201580019,19.6302896131113,11.3677867301209,19.6300567037745
11.3575281838348,19.6060827366063,11.3625513782365,19.617424777245,11.3581761851016,19.6125111494652,11.3621280653634,19.6175935032253,11.3627685478587,19.6173386220015
