gt_x,gt_y,K=1_pred_x,K=1_pred_y,K=5_pred_x,K=5_pred_y,K=10_pred_x,K=10_pred_y,baseline_pred_x,baseline_pred_y
9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652
9.33103846422548,3.4467007196239,9.33102796550557,3.44669556780996,9.33102796550557,3.44669556780996,9.33102796550557,3.44669556780996,9.33102796550557,3.44669556780996
9.33103861969013,3.44670080836784,9.33102488103053,3.44669429961874,9.33102488103053,3.44669429961874,9.33102488103053,3.44669429961874,9.33102488103053,3.44669429961874
9.33103877515477,3.44670089711178,9.3310220929017,3.44669315327115,9.3310220929017,3.44669315327115,9.3310220929017,3.44669315327115,9.3310220929017,3.44669315327115
9.33103890455144,3.44670097178141,9.33101932513499,3.44669201529552,9.33101932513499,3.44669201529552,9.33101932513499,3.44669201529552,9.33101932513499,3.44669201529552
9.33103893301122,3.4467009919544,9.33101657647744,3.44669088517667,9.33101657647744,3.44669088517667,9.33101657647744,3.44669088517667,9.33101657647744,3.44669088517667
9.331038961787,3.44670101232889,9.33101384082452,3.44668976040471,9.33101384082452,3.44668976040471,9.33101384082452,3.44668976040471,9.33101384082452,3.44668976040471
9.33103899171061,3.44670103343532,9.33101111332319,3.44668863898431,9.33101111332319,3.44668863898431,9.33101111332319,3.44668863898431,9.33101111332319,3.44668863898431
9.3310390219395,3.44670105473014,9.33100839396652,3.4466875209126,9.33100839396652,3.4466875209126,9.33100839396652,3.4466875209126,9.33100839396652,3.4466875209126
9.33103905323312,3.446701076682,9.33100568275422,3.44668640618949,9.33100568275422,3.44668640618949,9.33100568275422,3.44668640618949,9.33100568275422,3.44668640618949
9.3310390814708,3.44670109701686,9.33100297970931,3.44668529482441,9.33100297970931,3.44668529482441,9.33100297970931,3.44668529482441,9.33100297970931,3.44668529482441
9.33103909929299,3.44670111184051,9.33100028499197,3.44668418603749,9.33100028469442,3.44668418676091,9.33100028480383,3.44668418649484,9.33100028436926,3.44668418755211
9.33103912397482,3.44670113036287,9.3309975979111,3.44668307956435,9.33099759702522,3.4466830817176,9.33099759735288,3.44668308092086,9.33099759602918,3.4466830841419
9.33103917399074,3.44670116254538,9.33099491825956,3.44668197533517,9.3309949164998,3.44668197961148,9.33099491715398,3.44668197802093,9.33099491447264,3.44668198454701
9.33103922078282,3.44670119297938,9.33099224756833,3.44668087399311,9.33099224465377,3.44668088107392,9.33099224574189,3.44668087842851,9.33099224122736,3.44668088941884
9.33103925645851,3.44670121738422,9.33098958689241,3.44667977598345,9.33098958254602,3.44667978654029,9.33098958417461,3.44667978258129,9.33098957734897,3.44667979920167
9.33103928269032,3.44670123674441,9.3309869355643,3.44667868103922,9.33098692951151,3.44667869573714,9.33098693178646,3.44667869020741,9.33098692217097,3.44667871362654
9.33103927631253,3.44670123868545,9.33098429260253,3.44667758876195,9.33098428457039,3.44667760826162,9.33098428759713,3.44667760090516,9.33098427471314,3.44667763229237
9.3310392876677,3.44670125014622,9.3309816559394,3.44667649830233,9.33098164565508,3.44667652326362,9.33098164953909,3.44667651382447,9.33098163290693,3.44667655435236
9.3310393814382,3.44670130585069,9.33097902482143,3.44667540935264,9.33097901201267,3.44667544043359,9.33097901685924,3.44667542865628,9.33097899599979,3.44667547949704
9.33103879258677,3.44670099928567,9.33097640404495,3.44667432390278,9.33097638844563,3.44667436174609,9.33097639435768,3.44667434738097,9.3309763688022,3.44667440968233
9.33103576955286,3.44669940089277,9.3309737692103,3.44667323184585,9.3309737505277,3.44667327715817,9.33097375761827,3.44667325993108,9.3309737268537,3.44667333494974
9.33103279859009,3.44669783013675,9.33097099091201,3.44667207950012,9.33097096868509,3.44667213339518,9.33097097713156,3.44667211287584,9.33097094035958,3.44667220256616
9.33103669788365,3.44669990578762,9.33096797028255,3.44667082574356,9.33096794388319,3.44667088973875,9.33096795392698,3.44667086534151,9.33096791006308,3.44667097235848
9.33103973490787,3.4467015234477,9.3309649941989,3.44666958958973,9.33096496337416,3.44666966429347,9.33096497511311,3.44666963578136,9.33096492370931,3.44666976122621
9.33103975339522,3.44670153782448,9.33096231158287,3.44666847453212,9.3309622764855,3.44666855957108,9.33096228986195,3.44666852708462,9.33096223116498,3.44666867036084
9.33103977018205,3.44670155133849,9.33095976168361,3.44666741387959,9.3309597222551,3.44666750939154,9.33095973729215,3.44666747287523,9.33095967119222,3.44666763425781
9.33103978109187,3.44670156187078,9.33095721937088,3.44666635562458,9.33095717535472,3.44666646222577,9.33095719215128,3.44666642144022,9.33095711820179,3.4466666020284
9.33103979182329,3.44670157235877,9.33095468406506,3.44666529952998,9.33095463520502,3.44666541783555,9.33095465385983,3.44666537254178,9.33095457161507,3.4466655734335
9.33103980188125,3.44670158267955,9.3309521552785,3.44666424539654,9.33095210131865,3.44666437602052,9.33095212193029,3.44666432598,9.33095203094528,3.44666454827217
9.33103982489903,3.44670159994829,9.33094963282889,3.44666319315199,9.33094957351405,3.44666333670603,9.3309495961808,3.44666328168111,9.33094949601218,3.44666352646745
9.33103990600138,3.44670164835715,9.33094711718891,3.44666214299724,9.33094705226612,3.44666230008733,9.33094707708535,3.44666223984254,9.33094696729387,3.44666250820759
9.33103932254894,3.44670134470617,9.33094461173954,3.4466610963486,9.33094454096493,3.44666126755827,9.33094456803049,3.44666120186679,9.33094444819299,3.44666149485636
9.33103641219057,3.446699808335,9.33094209168538,3.44666004284633,9.33094201475649,3.44666022890004,9.33094204418469,3.44666015748068,9.33094191377784,3.446660476387
9.33103350183219,3.44669827196382,9.33093943299044,3.44665893059146,9.3309393492853,3.44665913298352,9.33093938131505,3.44665905525795,9.33093923926674,3.44665940272037
