Baseline,K=1,K=5,K=10
0,0,0,0
9.54884882387582E-06,1.91E-05,1.91E-05,1.91E-05
1.90583893592032E-05,3.81E-05,3.81E-05,3.81E-05
2.85286216058607E-05,5.71E-05,5.71E-05,5.71E-05
3.79603699145635E-05,7.59E-05,7.59E-05,7.59E-05
4.77827201865765E-05,9.56E-05,9.56E-05,9.56E-05
5.75836905083522E-05,0.000115167381017,0.000115167381017,0.000115167381017
7.73315578240264E-05,0.000154663115648,0.000154663115648,0.000154663115648
9.7868884766271E-05,0.000195737769533,0.000195737769533,0.000195737769533
0.000100256642852,0.000200513285704,0.000200513285704,0.000200513285704
9.81048532123354E-05,0.000196209706425,0.000196209706425,0.000196209706425
0.000108069414736,0.000216138811964,0.00021613882087,0.000216138817715
0.000117510539994,0.000235021027463,0.000235021054873,0.000235021045284
0.000126963829051,0.000253927550813,0.000253927608107,0.000253927588249
0.00013639955248,0.000272798922729,0.000272799022166,0.000272798987948
0.0001456203929,0.000291240520462,0.00029124066976,0.000291240618889
0.000154812716987,0.000309625073672,0.000309625282999,0.000309625212334
0.000164031245797,0.000328062020405,0.000328062302372,0.000328062207911
0.000173374246731,0.000346747881412,0.000346748255207,0.000346748130489
0.000192845976966,0.000385689852872,0.000385690892206,0.000385690517668
0.00021270905164,0.000425414173695,0.000425416023427,0.00042541534385
0.000215145360071,0.000430287394175,0.00043028904994,0.000430288453813
0.000213291365335,0.000426581415851,0.00042658230974,0.000426582018214
0.000222463759487,0.000444926121804,0.000444927127778,0.000444926804194
0.000231623618261,0.000463245636618,0.000463246810128,0.000463246433788
0.000240550378196,0.000481099006484,0.000481100336253,0.000481099912937
0.00024943541871,0.000498868942337,0.000498870437409,0.000498869965119
0.000258283494628,0.000516564950393,0.000516566621591,0.000516566097685
0.000267093988718,0.000534185796894,0.000534187655203,0.000534187077032
0.000276033641391,0.000552064889243,0.000552066975995,0.00055206632919
0.000284945580916,0.000569888547486,0.000569890878657,0.000569890158752
0.000293733448739,0.000587464111559,0.000587466680549,0.000587465891927
0.000302492606127,0.000604982256665,0.000604985076473,0.000604984215952
