Baseline,K=1,k=5,k=10
0,0,0,0
0.000717437714069,0.000717437714069,0.000358718857035,0.000717437714069
0.001364702983818,0.001364702983818,0.000682351491909,0.001364702983818
0.001941793588441,0.001941793588441,0.000970896794221,0.001941793588441
0.002451351057817,0.002451351057817,0.001225675528909,0.002451351057817
0.002995768185234,0.002995768185234,0.001497884092617,0.002995768185234
0.003464064493979,0.003464064493979,0.00173203224699,0.003464064493979
0.00347893352097,0.00347893352097,0.001739466760485,0.00347893352097
0.003456066362885,0.003456066362885,0.001728033181443,0.003456066362885
0.004004456581851,0.004004456581851,0.002002228290926,0.004004456581851
0.004639534532718,0.004639534532718,0.002319767266359,0.004639534532718
0.005226114775061,0.005226032359864,0.00261300742172,0.005225997148591
0.005753887221112,0.005753571930372,0.002876757981502,0.005753470046878
0.006033682681984,0.006032858951156,0.00301636712905,0.006032649477035
0.006268113005469,0.006266410399442,0.003133093521302,0.006266058927442
0.006272621359086,0.00626963219323,0.003134646157727,0.00626912612415
0.006252295059241,0.006247509477551,0.003123518334429,0.006246838130376
0.006430255449537,0.006422134394316,0.003210687051058,0.0064210926532
0.006644625557347,0.00663174279201,0.003315288267176,0.006630192776512
0.006779726010963,0.006760949914909,0.003379662492921,0.006758849593896
0.006893798075913,0.006867732757395,0.003432787206284,0.006865011276071
0.006992878168898,0.006958035959582,0.003477636821644,0.006954629336243
0.007075220180913,0.007030051694034,0.003513312651837,0.00702590984937
0.007083601456221,0.007027118401083,0.003511547388297,0.007022345734996
0.00707432067672,0.007004865252647,0.003500118916311,0.006999470792296
0.006997233478386,0.006905154635657,0.003449442619228,0.006897936944923
0.006902825709746,0.006781987328239,0.003386769212926,0.006772370555431
0.006898200096718,0.006748162694023,0.00336884169741,0.006736368610504
0.006894057769389,0.006711251644921,0.003349271033032,0.00669709713956
0.00688539381101,0.006666069720277,0.003325464922173,0.006649373619789
0.006873191857747,0.006613596350124,0.003297925649927,0.006594206506181
0.006905749702553,0.006608167606211,0.003294206810106,0.006586774576657
0.006925962269357,0.006587264779173,0.003282751258077,0.006563892641749
0.007036420221217,0.006637328124802,0.003305344324504,0.006608900180402
0.007149836038261,0.006680922051983,0.003324161363631,0.006646342926883
0.007217463048168,0.006691783009454,0.003328016647389,0.006654108692726
0.007260728173486,0.006672182269989,0.003316601336201,0.006631351669477
0.007408795035529,0.006732647839523,0.003343219217815,0.006684479467602
0.007570715768807,0.006795307872683,0.003370231498638,0.006738398587935
0.007699231378178,0.006827507761383,0.003382735899218,0.006763428479663
0.007814340606799,0.006839831770873,0.003385222247279,0.006768466512924
0.007929361841497,0.006842435001719,0.00338245592574,0.006763022821914
0.00807129252427,0.006856492256954,0.003384336714508,0.006766870895218
0.008208296080666,0.006855172294068,0.003378058867035,0.006754445742406
0.008341734555109,0.006840123155519,0.00336446618232,0.006727440634888
0.008479444704108,0.006815278961193,0.003345101551545,0.006688936853509
0.008615955423702,0.006779598204481,0.003319869752338,0.006638762275686
0.008751158066003,0.006733520942175,0.003289039129682,0.006577456226482
0.008886688117164,0.006679666938196,0.003253992514455,0.006507785181858
0.009061806677375,0.006688418116034,0.003252377031887,0.006505023181367
0.009228027037455,0.006680131873829,0.003242091910673,0.00648495563535
0.009271713581448,0.006417306977067,0.003093922320675,0.006189353723823
0.009309162776896,0.006090885990538,0.002908228780855,0.005818985271739
0.009506046758237,0.006024137749848,0.002860006266013,0.005723519856851
0.009710731339579,0.005960068800764,0.002812461940803,0.00562953186546
0.009925823345218,0.005889860236798,0.002759645454853,0.005525190372053
0.010145402322093,0.005819835235519,0.002706170379347,0.005419677246384
0.010401334420153,0.005842247571305,0.002705153093322,0.005418876372522
0.01065055159369,0.00585062035378,0.002696696771878,0.005403261804721
0.010808934545134,0.005564550089527,0.002515554712118,0.005043821585347
0.010982047425912,0.005244990365231,0.002306527972795,0.004629624795532
0.011271914398306,0.005184851385679,0.002243735271803,0.004507149491371
0.011572699708795,0.005145535703156,0.002191446811666,0.004405881473148
0.011875896264585,0.005109003111017,0.002139254709566,0.004305108490096
0.012181358061996,0.005076810785393,0.002088257292603,0.004207011615119
0.012506543556989,0.005130896574476,0.002093417801813,0.004220226451722
0.012825866852742,0.005173328661369,0.00209186107844,0.004220151836528
0.013104617618011,0.004980067126217,0.00192559844109,0.003895588269606
0.013407810357482,0.00475560629337,0.001716347743645,0.003489094591071
0.013789857267417,0.004791870943078,0.001684635683832,0.003432945721568
0.014179036345112,0.004858890594789,0.001674867383002,0.003420149049991
0.014567614602622,0.004931166531341,0.001668867442005,0.003414985065235
0.014954691427789,0.005007896518922,0.001666552845159,0.003417206571262
0.015330389234703,0.005101018733339,0.001683537817159,0.003456451184201
0.015701030300522,0.005185947936958,0.001695493774178,0.003485853143743
0.016122464025573,0.005261163737072,0.00167544727238,0.003456058627389
0.016579345410845,0.005410257570497,0.001707755096984,0.003528754194997
0.01702290274348,0.005572674784307,0.001760262841573,0.003639411017059
0.01746137413783,0.005733702274915,0.001813862719575,0.003751922466229
0.017919157250329,0.005914367158533,0.001877431721243,0.003884341531084
0.01837702452181,0.006096348042589,0.001942158279831,0.004018997483499
0.018831817496485,0.006276795969109,0.002006980366015,0.00415370100967
0.019283377634292,0.006454418420324,0.002071068071374,0.004286818382561
0.01970545492117,0.00657842282125,0.002099875737791,0.004350917329867
0.02012508197213,0.006698447660008,0.00212699432959,0.004411627738631
0.020613337100838,0.006901001475213,0.002201611177952,0.004566223940636
0.02114042536263,0.007151280139826,0.002304560989069,0.00477666306599
0.02166851099697,0.007403184967827,0.002409746688069,0.004991297005597
0.022196991513878,0.007654995530209,0.002515825372821,0.00520752635015
0.022706740769773,0.007851331110064,0.002581687619117,0.005345705227145
0.023214437397581,0.008043037643873,0.002645561715566,0.005479856496197
0.023691809806979,0.008185841738892,0.002679590558428,0.005555366244959
0.024168309965173,0.008326384290379,0.002713261903583,0.005630036284635
0.02475328564622,0.008627499020582,0.002847086321541,0.005901128262187
0.025360870120267,0.00896351525199,0.003003353624272,0.006216129709732
0.02591150728499,0.009181410402217,0.003079750153212,0.006375477284542
0.026459068738413,0.009393384620778,0.003153073412007,0.006528693964718
0.027025296158762,0.009625645528264,0.003237585661643,0.006704107498908
0.027593662007706,0.009859322514324,0.003323273500652,0.006881777217995
0.028168978203503,0.0100971014631,0.003410568052549,0.007062760431603
0.028741543023649,0.010330689055223,0.00349603064141,0.007240012753579
0.029327730022073,0.010576669127714,0.003587657869451,0.007429619942683
0.029911044844853,0.010818490694452,0.003677515766441,0.007615607163415
0.030509299030164,0.011075037084014,0.003774999612156,0.007816810723526
