gt_x,gt_y,K=1_pred_x,K=1_pred_y,K=5_pred_x,K=5_pred_y,K=10_pred_x,K=10_pred_y,baseline_pred_x,baseline_pred_y
12.6854404009278,18.0100577770283,12.6854404009278,18.0100577770283,12.6854404009278,18.0100577770283,12.6854404009278,18.0100577770283,12.6854404009278,18.0100577770283
12.6836982322862,18.0178585168349,12.6838619063061,18.0171599986255,12.6837527902928,18.0176256774318,12.6837800692961,18.0175092577302,12.6838619063061,18.0171599986255
12.6819560636445,18.0256592566414,12.6822672763023,18.0243305125292,12.6820598011971,18.0252163419373,12.6821116699734,18.0249948845853,12.6822672763023,18.0243305125292
12.6802138950028,18.0334599964479,12.6806562978338,18.0315692711704,12.6803613626132,18.0328297546887,12.6804350964183,18.0325146338091,12.6806562978338,18.0315692711704
12.6784709494512,18.0412632697907,12.6790287191848,18.0388762182761,12.6786568726957,18.0404675859525,12.678749834318,18.0400697440334,12.6790287191848,18.0388762182761
12.6766971939671,18.0491670156224,12.6773843583919,18.0462511226077,12.6769262487754,18.0481950512842,12.6770407761795,18.0477090691151,12.6773843583919,18.0462511226077
12.6749265643367,18.0570574392032,12.6757246305948,18.0536865590413,12.6751925864227,18.0559338124825,12.6753255974657,18.0553719991222,12.6757246305948,18.0536865590413
12.6732470575908,18.0645595010538,12.6740510088557,18.0611747350638,12.6735150413458,18.0634312457238,12.6736490332233,18.0628671180588,12.6740510088557,18.0611747350638
12.671567550845,18.0720615629044,12.6723669407001,18.0686992169133,12.67183401413,18.0709407809074,12.6719672457726,18.0703803899089,12.6723669407001,18.0686992169133
12.6697326178416,18.0801359225576,12.6706757297669,18.0762441090456,12.6700469884833,18.0788386513869,12.6702041738042,18.0781900158016,12.6706757297669,18.0762441090456
12.667866106088,18.0883265588919,12.6689744852743,18.0838213645276,12.6682355658167,18.0868248274371,12.6684202956811,18.0860739617097,12.6689744852743,18.0838213645276
12.6659995943343,18.0965171952261,12.667258221915,18.0914450257879,12.6664193993018,18.0948265311473,12.6666296870086,18.0939812857683,12.6672632938452,18.0914461658249
12.664134556773,18.1047001048527,12.6655265667201,18.0991175672678,12.6645992135391,18.1028394062759,12.6648327111754,18.1019093203895,12.6655430813348,18.0991212808985
12.6623066071659,18.1126886247929,12.6637796183209,18.1068385736948,12.6627987155438,18.1107388570936,12.6630471319298,18.109764506147,12.6638150719555,18.1068465480486
12.6604803471186,18.1206712165732,12.6620197528439,18.1145971961176,12.6609950652033,18.1186469008399,12.6612563941422,18.1176356398832,12.6620822809219,18.1146112620569
12.6587093383432,18.1284599481633,12.6602492727714,18.1223828975367,12.6592247190745,18.1264347329359,12.659488404137,18.1254234817221,12.6603470753539,18.122404900996
12.6569383295678,18.1362486797534,12.6584688836558,18.1301922459173,12.6574510647553,18.1342304464558,12.657715871112,18.1332232421296,12.6586098803923,18.1302239713497
12.6550736630331,18.1442390207212,12.6566792757834,18.1380219121845,12.6556118840143,18.1421673357136,12.6558922981539,18.1411340587112,12.6568709640594,18.1380650516439
12.6531845023568,18.1522820882185,12.6548802661933,18.1458724204218,12.6537532178349,18.1501463185284,12.6540521674338,18.1490817506693,12.6551297520337,18.1459285811168
12.6513170212409,18.1602715610986,12.6530716378127,18.1537444355046,12.6519057720481,18.1580967347543,12.6522184533849,18.1570134894254,12.6533857526661,18.1538151662009
12.6494504883657,18.1682586898078,12.6512540471189,18.1616348272153,12.6500559419027,18.166051707299,12.6503811152817,18.1649533347815,12.6516393776536,18.1617216250539
12.6475839554904,18.1762458185169,12.6494282275118,18.169540184325,12.6482033372451,18.1740116612652,12.6485400421168,18.1729007528275,12.6498910480106,18.1696444800778
12.6457182943835,18.1842312086411,12.6475941715157,18.177460352403,12.6463485343358,18.18197538552,12.6466956638683,18.1808547969962,12.648140467912,18.1775835161086
12.6438792660807,18.1921634844372,12.6457517830275,18.1853953960878,12.6445086734201,18.1899086506702,12.6448608119289,18.188789811957,12.6463873208914,18.1855387526949
12.6420402377778,18.2000957602333,12.6439003680256,18.1933479823151,12.6426657669613,18.1978477549724,12.6430218247209,18.1967336892383,12.644630845958,18.1935128458108
