gt_x,gt_y,transformer_pred_x,transformer_pred_y,mobilevit_pred_x,mobilevit_pred_y,lstm_pred_x,lstm_pred_y,baseline_pred_x,baseline_pred_y,gru_pred_x,gru_pred_y
9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652,9.33103162231093,3.44669707131652
9.33103846422548,3.4467007196239,9.33103146507887,3.44669728508127,9.33102796550557,3.44669556780996,9.33102796550557,3.44669556780996,9.33102796550557,3.44669556780996,9.33102796550557,3.44669556780996
9.33103861969013,3.44670080836784,9.33102946058373,3.44669646920177,9.33102488103053,3.44669429961874,9.33102488103053,3.44669429961874,9.33102488103053,3.44669429961874,9.33102488103053,3.44669429961874
9.33103877515477,3.44670089711178,9.33102765365272,3.44669573455136,9.3310220929017,3.44669315327115,9.3310220929017,3.44669315327115,9.3310220929017,3.44669315327115,9.3310220929017,3.44669315327115
9.33103890455144,3.44670097178141,9.33102585160714,3.44669500079082,9.33101932513499,3.44669201529552,9.33101932513499,3.44669201529552,9.33101932513499,3.44669201529552,9.33101932513499,3.44669201529552
9.33103893301122,3.4467009919544,9.33102402865537,3.44669425410258,9.33101657647744,3.44669088517667,9.33101657647744,3.44669088517667,9.33101657647744,3.44669088517667,9.33101657647744,3.44669088517667
9.331038961787,3.44670101232889,9.33102221447868,3.4466935110461,9.33101384082452,3.44668976040471,9.33101384082452,3.44668976040471,9.33101384082452,3.44668976040471,9.33101384082452,3.44668976040471
9.33103899171061,3.44670103343532,9.331020406119,3.44669277046798,9.33101111332319,3.44668863898431,9.33101111332319,3.44668863898431,9.33101111332319,3.44668863898431,9.33101111332319,3.44668863898431
9.3310390219395,3.44670105473014,9.33101860329085,3.44669203218511,9.33100839396652,3.4466875209126,9.33100839396652,3.4466875209126,9.33100839396652,3.4466875209126,9.33100839396652,3.4466875209126
9.33103905323312,3.446701076682,9.33101680624719,3.44669129635366,9.33100568275422,3.44668640618949,9.33100568275422,3.44668640618949,9.33100568275422,3.44668640618949,9.33100568275422,3.44668640618949
9.3310390814708,3.44670109701686,9.33101501362981,3.44669056222189,9.33100297970931,3.44668529482441,9.33100297970931,3.44668529482441,9.33100297970931,3.44668529482441,9.33100297970931,3.44668529482441
9.33103909929299,3.44670111184051,9.33101322300999,3.44668982817194,9.33100028486849,3.44668418633765,9.33100028477313,3.44668418656951,9.33100028436926,3.44668418755211,9.33100028468137,3.44668418679266
9.33103912397482,3.44670113036287,9.33101143947861,3.44668909759991,9.3309975972305,3.44668308121843,9.33099759728947,3.44668308107504,9.33099759602918,3.4466830841419,9.33099759700793,3.44668308175967
9.33103917399074,3.44670116254538,9.33100966908677,3.44668837370399,9.33099491663478,3.44668197928329,9.33099491699733,3.44668197840169,9.33099491447264,3.44668198454701,9.33099491645821,3.44668197971264
9.33103922078282,3.44670119297938,9.33100790333581,3.44668765177643,9.33099224461231,3.44668088117496,9.33099224534101,3.44668087940284,9.33099224122736,3.44668088941884,9.33099224453904,3.44668088135297
9.33103925645851,3.44670121738422,9.33100614029481,3.4466869306953,9.33098958221296,3.44667978735084,9.33098958330553,3.44667978469345,9.33098957734897,3.44667979920167,9.33098958230863,3.44667978711773
9.33103928269032,3.44670123674441,9.33100438007131,3.44668621062253,9.33098692876181,3.44667869756159,9.33098693019043,3.44667869408634,9.33098692217097,3.44667871362654,9.33098692912205,3.44667869668453
9.33103927631253,3.44670123868545,9.3310026142831,3.44668548718204,9.33098428326838,3.44667761143034,9.33098428501599,3.44667760717845,9.33098427471314,3.44667763229237,9.33098428402492,3.44667760958852
9.3310392876677,3.44670125014622,9.33100085832227,3.44668476881207,9.33098164364955,3.446676528145,9.33098164573743,3.44667652306437,9.33098163290693,3.44667655435236,9.33098164497146,3.44667652492659
9.3310393814382,3.44670130585069,9.33099913320157,3.44668406699341,9.33097900908326,3.44667544756477,9.33097901163523,3.44667544135331,9.33097899599979,3.44667547949704,9.33097901122429,3.44667544235139
9.33103879258677,3.44670099928567,9.33099718722168,3.44668324726641,9.33097638453914,3.44667437125678,9.33097638754793,3.44667436393205,9.3309763688022,3.44667440968233,9.33097638759586,3.44667436381322
9.33103576955286,3.44669940089277,9.3309944202388,3.44668199309786,9.33097374558177,3.4466732892004,9.33097374904435,3.44667328076962,9.3309737268537,3.44667333494974,9.33097374965937,3.44667327927043
9.33103279859009,3.44669783013675,9.33099157458526,3.44668070888147,9.33097096258285,3.44667214825383,9.33097096651832,3.44667213867026,9.33097094035958,3.44667220256616,9.33097096784272,3.44667213544431
9.33103669788365,3.44669990578762,9.33099085693324,3.44668057380913,9.33096793645803,3.44667090781988,9.33096794090176,3.4466708969971,9.33096791006308,3.44667097235848,9.33096794311839,3.44667089159924
9.33103973490787,3.4467015234477,9.33098988135678,3.44668029828691,9.33096495458124,3.44666968570652,9.3309649595192,3.44666967367854,9.33096492370931,3.44666976122621,9.33096496273431,3.4466696658501
9.33103975339522,3.44670153782448,9.33098809539957,3.44667956869409,9.33096226640175,3.44666858412889,9.33096227177887,3.44666857102983,9.33096223116498,3.44666867036084,9.33096227600201,3.44666856074747
9.33103977018205,3.44670155133849,9.33098639731996,3.44667887516212,9.33095971088891,3.44666753707393,9.33095971667797,3.44666752297001,9.33095967119222,3.44666763425781,9.33095972196209,3.44666751010479
