gt_x,gt_y,transformer_pred_x,transformer_pred_y,mobilevit_pred_x,mobilevit_pred_y,lstm_pred_x,lstm_pred_y,baseline_pred_x,baseline_pred_y,gru_pred_x,gru_pred_y
12.1181768383124,19.6092435122607,12.1474881725349,19.6294843018866,12.1281844281174,19.6226196332452,12.1410877668053,19.6322758205977,12.2271140550751,19.6756421007965,12.1541452025469,19.6515829364864
12.1124803202997,19.615962718568,12.1421860621776,19.6365589475992,12.1226967403582,19.629577433481,12.1357796542952,19.6394030724624,12.2225930175188,19.6834231318139,12.1491097709728,19.6590413983347
12.1069254580833,19.6230056583637,12.1369605534844,19.6438363917906,12.1172857059067,19.6367361073616,12.1305156439189,19.6466705704324,12.2180150060507,19.6911629652807,12.1440202032773,19.6664548666032
12.1013705958669,19.6300485981594,12.1317153669718,19.6511036853193,12.1118548499729,19.6438825489603,12.1252219293088,19.6539205886777,12.2133743283461,19.6988700485297,12.1388703976766,19.6738314866991
12.0953343446989,19.6360170646745,12.1261277125802,19.6576472174484,12.1060811967233,19.6503029873455,12.1196548149918,19.6606197749797,12.2086657401327,19.7065526311534,12.1336542343331,19.6811789024835
12.0891988055181,19.6417819306705,12.120455486874,19.6640420215663,12.1002230540059,19.6565726901253,12.1140105463108,19.6671954940738,12.2038990090909,19.7141941698845,12.1283823746647,19.688481116849
12.0831412923062,19.6481475655188,12.1148208235256,19.6708179136942,12.0944030371848,19.6632217714584,12.1083841947862,19.6740406048257,12.1990852813296,19.7217749081178,12.1230679397492,19.6957196490656
12.0770774939601,19.6545059880021,12.1091660183742,19.6775720469138,12.0885632763709,19.669847254603,12.1027311772752,19.68085468766,12.1942190056688,19.7293014991484,12.1177059822682,19.7029015445898
12.0709154647171,19.6607516878209,12.1034275880411,19.6842374861648,12.0826400516551,19.6763820182217,12.0970019809133,19.6875898943244,12.1892931722602,19.7367837525957,12.1122893039185,19.7100364970826
12.0647579209029,19.6670091098185,12.097673979596,19.6908971489115,12.0767018256773,19.6829089643627,12.0912479343795,19.6943083613547,12.1843078535471,19.7442215189343,12.1068178684096,19.7171243151002
12.0587252673374,19.6735929188517,12.0919853912761,19.6977608481397,12.0708288058291,19.6896378869457,12.0855291421706,19.7011674549123,12.1792631487868,19.7516150013355,12.1012914417523,19.7241649994801
12.0526926137719,19.6801767278849,12.0862769791649,19.7046132483154,12.0649359914814,19.6963533087243,12.0797806108059,19.7080072124758,12.1741547597287,19.7589711670289,12.0957048381803,19.7311649046943
12.0462563275042,19.6857249883135,12.0802780494814,19.7107660999909,12.0587525404717,19.7023668352299,12.0737979522981,19.7143128778021,12.1689786087987,19.7662967798736,12.0900528594771,19.7381299803391
12.0396911769699,19.6909426382375,12.0741746050113,19.7166850881903,12.0524647864251,19.7081443665757,12.0677231500696,19.7204307405298,12.1637437851574,19.7735793708429,12.0843448886579,19.7450479698526
12.0331181743695,19.6967468220624,12.0680512013259,19.7229761800092,12.0461577102635,19.714292174892,12.0616229984901,19.7268115067833,12.1584617174608,19.7808023185175,12.078593745294,19.7519033007906
12.02654503984,19.7025608607343,12.0619119244716,19.7292565807353,12.0398352872591,19.7204273669427,12.0554996443414,19.7331692177625,12.1531284584464,19.7879699456596,12.0727959970227,19.7587007007013
12.0199719053104,19.7083748994063,12.0557547750083,19.7355226627526,12.0334953078038,19.7265461307104,12.0493497905874,19.7395031605047,12.1477373944753,19.7950907099071,12.0669449010478,19.7654485544416
12.013400824727,19.7141967689257,12.0495811796288,19.7417795478617,12.0271392187741,19.7326535798768,12.0431745716992,19.7458170929431,12.1422888627913,19.8021643260159,12.0610406658419,19.7721465055462
12.0068987979024,19.7202819118916,12.0434358431436,19.7481974356531,12.020811744856,19.7389199042711,12.0370075662859,19.7522385822437,12.136783228637,19.8091905890648,12.0550833809795,19.7787941470034
12.0003967710778,19.7263670548575,12.0372711784402,19.754602766815,12.0144651602582,19.7451714014886,12.0308117674003,19.7586387717539,12.1312161611808,19.8161755157746,12.0490679850042,19.7853969079761
11.9935242357161,19.7313973009242,12.0308385809559,19.7602940964068,12.007850730735,19.7507064781327,12.024399379041,19.7644927821986,12.1255834358264,19.8231249228598,12.042989326067,19.7919598158133
11.9865589866846,19.7361661043834,12.0243261142333,19.7657965559865,12.0011568291786,19.7560504931772,12.0179139392284,19.7701918283893,12.1198942078241,19.8300276582003,12.0368568699295,19.798471962323
11.9798291225508,19.7419852055431,12.0179562199552,19.771980019332,11.9946062716404,19.7620736225517,12.0115254728121,19.7763851757731,12.1141594697884,19.8368696685267,12.0306827818337,19.8049202924813
11.973099258417,19.7478043067028,12.0115692168239,19.7781477114729,11.9880391234298,19.7680788455125,12.0051118708065,19.7825525457676,12.10837035473,19.8436606367769,12.0244580991463,19.8113143857224
11.9659931054865,19.7528263083818,12.0049106559133,19.7837724404492,11.9812006176519,19.7735386506446,11.9984792529185,19.7883013552436,12.1025161336424,19.8504131189888,12.0181712700147,19.817666054797
11.9588069694623,19.7576788804021,11.9981801419505,19.7892699584971,11.9742905836507,19.7788689534993,11.9917791200615,19.7939415730195,12.0966035849167,19.8571194298187,12.0118291337007,19.8239676533527
11.9516208334381,19.7625314524224,11.9914336030905,19.794750083761,11.967365211497,19.7841797839711,11.9850556610397,19.7995534393181,12.0906406925345,19.8637702187214,12.0054401651164,19.8302102617033
11.9444395855397,19.7674048775144,11.9846748809438,19.8002260753318,11.9604284087645,19.7894844402133,11.9783122663276,19.8051464579134,12.0846289165332,19.8703632055069,11.9990062969839,19.836392030568
11.9373823897917,19.7728075173766,11.9779834718516,19.8060368353197,11.9535596873845,19.7951218180357,11.9716086149037,19.8109747937752,12.0785680725162,19.8768979545075,11.9925277586857,19.8425129223509
11.9303251940438,19.7782101572388,11.9712741994825,19.8118322515956,11.9466736694335,19.8007415781884,11.964878745222,19.8167776406358,12.0724505681961,19.8833822881525,11.9859965323875,19.8485803373662
11.9229955181903,19.7826049860281,11.9643629215662,19.8169429353112,11.939586026116,19.805674101199,11.9579824771259,19.8220545713041,12.0662692787535,19.8898238645516,11.9794046110581,19.8546010365669
11.9155859016053,19.7867083630215,11.9573808027728,19.8218431488139,11.932428202731,19.810393882624,11.9510205968245,19.8271590506839,12.0600332348657,19.8962132274007,11.9727612404006,19.8605657517567
