Baseline,transformer,mobilevit,lstm,gru
0,0,0,0,0
0.000717437714069,0.00023914590469,0.000358718857035,0.000717437714069,0.000717437714069
0.001364702983818,0.000454900994606,0.000682351491909,0.001364702983818,0.001364702983818
0.001941793588441,0.00064726452948,0.000970896794221,0.001941793588441,0.001941793588441
0.002451351057817,0.000817117019272,0.001225675528909,0.002451351057817,0.002451351057817
0.002995768185234,0.000998589395078,0.001497884092617,0.002995768185234,0.002995768185234
0.003464064493979,0.00115468816466,0.00173203224699,0.003464064493979,0.003464064493979
0.00347893352097,0.00115964450699,0.001739466760485,0.00347893352097,0.00347893352097
0.003456066362885,0.001152022120962,0.001728033181443,0.003456066362885,0.003456066362885
0.004004456581851,0.001334818860617,0.002002228290926,0.004004456581851,0.004004456581851
0.004639534532718,0.001546511510906,0.002319767266359,0.004639534532718,0.004639534532718
0.005226114775061,0.001742027263093,0.00261300742172,0.005225997148591,0.005226036310905
0.005753887221112,0.001917910881428,0.002876757981502,0.005753470046878,0.005753568835029
0.006033682681984,0.002011074870983,0.00301636712905,0.006032649477035,0.006032825160987
0.006268113005469,0.002089027541627,0.003133093521302,0.006266058927442,0.006266316831794
0.006272621359086,0.002090231803082,0.003134646157727,0.00626912612415,0.006269450250778
0.006252295059241,0.002083020694306,0.003123518334429,0.006246838130376,0.006247210141016
0.006430255449537,0.002141551575356,0.003210687051058,0.0064210926532,0.006421589641158
0.006644625557347,0.002211876354579,0.003315288267176,0.006630192776512,0.00663081272158
0.006779726010963,0.00225548513289,0.003379662492921,0.006758849593896,0.006759518190883
0.006893798075913,0.002291730873163,0.003432787206284,0.006865011276071,0.006865716733153
0.006992878168898,0.002322600850839,0.003477636821644,0.006954629336243,0.006955361360822
0.007075220180913,0.002347494441654,0.003513312651837,0.00702590984937,0.007026659589518
0.007083601456221,0.002347435509513,0.003511547388297,0.007022345734996,0.007023083226551
0.00707432067672,0.002341043973168,0.003500118916311,0.006999470792296,0.007000194377882
0.006997233478386,0.002309893662555,0.003449442619228,0.006897936944923,0.006898804234658
0.006902825709746,0.002271555212726,0.003386769212926,0.006772370555431,0.00677342720995
0.006898200096718,0.002262985430442,0.00336884169741,0.006736368610504,0.006737571709157
0.006894057769389,0.002253736865021,0.003349271033032,0.00669709713956,0.006698458863325
