Baseline,transformer,mobilevit,lstm,gru
0,0,0,0,0
9.54884882387582E-06,1.91E-05,1.90976976477516E-05,1.90976976477516E-05,1.90976976477516E-05
1.90583893592032E-05,3.81E-05,3.81167787184063E-05,3.81167787184063E-05,3.81167787184063E-05
2.85286216058607E-05,5.71E-05,5.70572432117215E-05,5.70572432117215E-05,5.70572432117215E-05
3.79603699145635E-05,7.59E-05,7.59207398291271E-05,7.59207398291271E-05,7.59207398291271E-05
4.77827201865765E-05,9.56E-05,9.55654403731529E-05,9.55654403731529E-05,9.55654403731529E-05
5.75836905083522E-05,0.000115167381017,0.000115167381017,0.000115167381017,0.000115167381017
7.73315578240264E-05,0.000154663115648,0.000154663115648,0.000154663115648,0.000154663115648
9.7868884766271E-05,0.000195737769533,0.000195737769533,0.000195737769533,0.000195737769533
0.000100256642852,0.000200513285704,0.000200513285704,0.000200513285704,0.000200513285704
9.81048532123354E-05,0.000196209706425,0.000196209706425,0.000196209706425,0.000196209706425
0.000108069414736,0.00021613882087,0.000216138822923,0.000216138818773,0.000216138821016
0.000117510539994,0.000235021054873,0.000235021061811,0.000235021047443,0.000235021054579
0.000126963829051,0.000253927608107,0.000253927623149,0.000253927592894,0.000253927607479
0.00013639955248,0.000272799022166,0.000272799048561,0.000272798999021,0.000272799022234
0.0001456203929,0.00029124066976,0.000291240709158,0.000291240641811,0.00029124067174
0.000154812716987,0.000309625282999,0.000309625337753,0.000309625253387,0.000309625287636
0.000164031245797,0.000328062302372,0.000328062375643,0.000328062273653,0.000328062309923
0.000173374246731,0.000346748255207,0.000346748352461,0.000346748228866,0.000346748265706
0.000192845976966,0.000385690892206,0.000385691233622,0.000385690838759,0.000385690924892
0.00021270905164,0.000425416023427,0.000425416671907,0.000425415964608,0.000425416077775
0.000215145360071,0.00043028904994,0.000430289605518,0.000430289024527,0.000430289089898
0.000213291365335,0.00042658230974,0.00042658253463,0.000426582305283,0.000426582324299
0.000222463759487,0.000444927127778,0.000444927369701,0.000444927129652,0.000444927140353
0.000231623618261,0.000463246810128,0.000463247089393,0.000463246818546,0.000463246821
0.000240550378196,0.000481100336253,0.000481100644495,0.000481100351232,0.000481100344258
0.00024943541871,0.000498870437409,0.000498870774312,0.00049887045901,0.000498870441776
0.000258283494628,0.000516566621591,0.000516566987467,0.000516566649883,0.000516566621615
0.000267093988718,0.000534187655203,0.000534188050316,0.000534187690278,0.00053418765022
0.000276033641391,0.000552066975995,0.000552067412808,0.000552067019038,0.000552066965163
0.000284945580916,0.000569890878657,0.00056989135913,0.000569890930121,0.000569890861106
0.000293733448739,0.000587466680549,0.000587467197299,0.00058746673999,0.000587466655706
0.000302492606127,0.000604985076473,0.00060498562999,0.000604985144149,0.000604985043644
0.00031125615343,0.000622512256926,0.000622512850657,0.000622512333408,0.000622512215283
0.000320134390046,0.000640268779958,0.000640269428712,0.000640268867106,0.000640268727984
0.000338662346807,0.000677321290664,0.000677322948483,0.000677321498119,0.000677321168805
0.000357561213317,0.000715115482326,0.000715118191889,0.000715115821409,0.000715115274247
0.000359715080525,0.00071942589886,0.00071942796551,0.00071942617165,0.000719425715979
0.000357327541724,0.000714655920054,0.000714656693431,0.000714656042504,0.00071465582317
0.000366529100922,0.000733059182546,0.000733060015947,0.000733059317721,0.000733059070967
0.000375224485231,0.000750450089746,0.000750450984875,0.000750450237937,0.000750449962997
0.000393202674543,0.000786402066601,0.000786404262521,0.000786402388335,0.000786401805962
0.000411731635026,0.000823455385811,0.000823458944422,0.000823455893948,0.000823454972348
0.000418942139094,0.000837877537392,0.000837880915437,0.000837878032057,0.000837877117873
0.000423239358087,0.000846474953381,0.000846477665852,0.000846475368844,0.00084647458209
0.000427188333082,0.00085437621174,0.000854378173237,0.000854376534177,0.000854375905079
0.000430662190615,0.000861327551295,0.000861328677962,0.000861327767039,0.000861327325766
0.000439294648012,0.000878592815529,0.000878593991913,0.000878593044453,0.000878592570895
0.000447707849784,0.000895419558645,0.000895420790174,0.000895419801603,0.000895419293801
0.000465359860381,0.000930717661551,0.000930720638846,0.000930718155198,0.000930717161099
0.000483422437296,0.000966836790803,0.0009668415548,0.000966837544388,0.00096683603706
0.000485684330577,0.000971365680576,0.000971369261026,0.000971366277346,0.000971365056032
0.000483620578841,0.000967247066167,0.000967248456981,0.000967247361068,0.000967246715857
0.000492127681688,0.000984261968638,0.000984263363247,0.000984262271759,0.000984261600797
0.00050035868964,0.001000724504606,0.001000725947486,0.001000724822197,0.00100072411333
0.000508562699646,0.001017133073346,0.00101713456416,0.001017133405662,0.001017132657896
0.000516742943465,0.001033494138229,0.001033495676996,0.001033494485539,0.001033493697778
0.000534005372154,0.0010680116394,0.001068015358784,0.001068012312158,0.001068010854504
0.000551617112643,0.001103227726927,0.001103233654376,0.001103228732002,0.001103226581438
0.000558447889066,0.001116891779105,0.001116897294409,0.001116892735958,0.001116890663715
0.000562503317686,0.001125008085498,0.001125012415821,0.001125008880597,0.001125007122421
0.000566225914838,0.001132459069685,0.001132462123927,0.001132459688319,0.001132458279856
0.000569494988465,0.001139003322345,0.001139005011757,0.001139003749966,0.001139002726527
0.000577685899811,0.001155385994995,0.00115538772141,0.001155386438174,0.001155385370456
0.000585670614547,0.001171356246926,0.001171358019189,0.001171356707026,0.001171355591958
0.000602544069671,0.001205094382601,0.00120509877504,0.001205095243796,0.001205093266902
0.000619754841127,0.001239507152013,0.001239514186991,0.001239508420257,0.00123950556024
0.000623512504105,0.001247028925882,0.001247034570676,0.001247030000081,0.001247027532465
0.000620135026164,0.001240289189186,0.001240291113215,0.001240289718872,0.001240288400581
0.000627972493292,0.001255965861627,0.001255967651135,0.001255966383289,0.001255965068213
0.000635782781496,0.001271587531787,0.001271589347818,0.00127158806922,0.001271586706709
0.000643547403766,0.00128711790495,0.001287119746564,0.001287118458343,0.001287117047566
0.000651286799009,0.001302597862724,0.001302599728975,0.001302598432263,0.001302596972305
0.000659084389352,0.001318194147176,0.001318196064763,0.001318194737228,0.001318193218017
0.000666861099937,0.001333748710284,0.001333750679034,0.001333749321165,0.001333747741442
0.000683120685728,0.001366257527773,0.001366262629662,0.001366258628118,0.001366255954409
0.00069976156703,0.001399528900204,0.001399537174552,0.00139953049835,0.001399526703825
0.000702007644248,0.001404031107032,0.001404037137333,0.001404032380705,0.001404029280854
0.00069966674307,0.001399366579768,0.001399368448319,0.00139936723579,0.001399365488726
0.000716114406989,0.001432250983609,0.001432256200819,0.001432252166831,0.001432249224916
0.00073250790493,0.001465026909025,0.001465035522055,0.001465028628356,0.00146502446478
0.000734731962534,0.001469485890123,0.001469492085226,0.001469487258062,0.001469483858373
0.000732683018889,0.001465406164631,0.001465408003882,0.001465406883203,0.001465404923668
0.000740529209801,0.001481100400632,0.001481102215837,0.001481101132523,0.00148109912474
0.000748035928268,0.001496115451725,0.001496117292043,0.001496116203948,0.001496114132601
0.000755519747784,0.001511084749004,0.001511086613415,0.001511085521803,0.001511083385798
0.000762985149053,0.001526017255796,0.001526019143282,0.001526018049406,0.001526015847636
0.000683402253077,0.001366832600923,0.001366836345384,0.001366833553899,0.00136683104257
0.000605084310257,0.001210170771319,0.001210177025439,0.001210171935877,0.001210169016119
0.000504458838941,0.001008868424667,0.001008879474781,0.001008869977211,0.001008866326972
0.000411869234461,0.000823603140744,0.000823621945227,0.000823605295273,0.000823600536754
0.000407128236982,0.000814040333414,0.000814072438602,0.000814044233221,0.000814035541773
0.000407562438794,0.000814811675277,0.000814859469379,0.000814817644056,0.000814804278986
0.00033260438953,0.000664637095961,0.00066471331646,0.000664646008762,0.000664626593439
0.000140383750169,0.000278652970689,0.00027886582505,0.000278672965217,0.000278633626594
4.84298987354528E-05,8.75E-05,8.82704746116031E-05,8.75229133350245E-05,8.74241371354342E-05
0.000213330187449,0.000423755709889,0.000423960555559,0.000423767051032,0.000423753414899
0.00022068916847,0.000437667970982,0.000437946597788,0.00043768655989,0.000437659450886
0.000221057625617,0.000437311415208,0.000437687676186,0.00043733962655,0.000437294980225
0.000372451258535,0.000741113812732,0.000741380154412,0.000741130707009,0.000741108700879
0.000554931123287,0.001106519614556,0.001106728778738,0.001106529818083,0.001106521835511
0.000630498108734,0.001257280088543,0.001257508046681,0.001257291188445,0.001257283145698
0.000697935045436,0.001391679994046,0.001391932466085,0.001391692310762,0.001391683952735
0.000763463911061,0.001522213440347,0.00152249277388,0.001522227098371,0.001522218382217
0.000824872863758,0.001644446403641,0.001644755719691,0.001644461610689,0.001644452367783
0.000826930641237,0.001647568484917,0.001647946386494,0.001647590002078,0.001647571592603
0.000827373900726,0.001647344781857,0.00164779968558,0.001647373680776,0.00164734449222
0.001272028461522,0.002537706615394,0.002538074806487,0.002537727366755,0.002537711486888
0.001807576391786,0.003609213540393,0.003609538145305,0.003609229226821,0.003609222645952
0.001836678548315,0.003666255854048,0.003666648918434,0.003666276934156,0.003666264082559
0.001837522546668,0.003666404630988,0.003666886469838,0.003666432638542,0.003666411848731
0.002248481598844,0.004487848202667,0.004488336477758,0.004487874699378,0.004487859098889
0.002741874716282,0.005474111582524,0.0054746058156,0.005474136430851,0.005474126548992
0.00295415579967,0.005897238911424,0.005897797565253,0.005897268090714,0.005897255603007
0.003138934741867,0.006265040513036,0.006265677266288,0.006265075195567,0.006265059183139
0.0033225236925,0.00663025666468,0.006630978995611,0.006630297748693,0.006630277384574
0.003492835102775,0.006968675822852,0.006969492517413,0.00696872448556,0.006968698677295
