scenario,model,pos_final,pos_mean,yaw_rmse,AUEC,drift_b,param_count,inference_time_s
left_turn,BASELINE,0.454638438214278,0.128898753248389,2.28906878937185,0.254575037665337,0.226303215655325,0,0
left_turn,gru,0.361596546588724,0.107701264565413,0.196426166569683,0.212709997516497,0.184709127491259,71168,0.857533213988063
left_turn,lstm,0.386493463218678,0.120765775053246,0.203080033409343,0.238512405729944,0.201487363342399,84096,0.756284728951869
left_turn,mobilevit,0.365192157150377,0.108572683671086,0.196576689525386,0.214431050250199,0.188518520064568,67312,0.963881474955997
left_turn,transformer,0.395916407514801,0.100530639335128,0.177895920620071,0.196548012686553,0.203502319359689,103936,1.22763385787985
right_turn,BASELINE,0.224897973625487,0.058474641098989,5.75442513508661,0.235360430423216,0.051031235846538,0,0
right_turn,gru,0.163468127403884,0.043894984213498,2.77900766170857,0.216927311459131,0.044626769935915,71168,0.5957679850253
right_turn,lstm,0.09571874231921,0.03703176126468,2.79570888207595,0.149052839090202,0.023668777245652,84096,0.60161424997204
right_turn,mobilevit,0.106970816540839,0.039281051254359,2.78999390601157,0.158106231298652,0.027308937938104,67312,0.89820636919467
right_turn,transformer,0.094090727562632,0.035375609960468,2.84562878380951,0.133886830090535,0.033492807708746,103936,1.1372678429092
u_turn,BASELINE,0.354342163991175,0.25654968848256,14.9906689070755,1.57264959039666,0.070218807851657,0,0
u_turn,gru,0.040342007973863,0.142118521335207,4.08645251546724,0.871186535784026,0.009193041491348,71168,1.43195362900587
u_turn,lstm,0.066672753487639,0.158969348019886,4.13726031266512,0.974482103361016,0.009921624280537,84096,1.42928078798286
u_turn,mobilevit,0.044043388477147,0.146469594223436,4.09203841825284,0.897858612588844,0.008321640686362,67312,1.88125089494133
u_turn,transformer,0.029450764981486,0.140251951512312,4.17530357988302,0.76624446276941,0.006613684051285,103936,2.23622265678714
zig-zag,BASELINE,0.220439332527679,0.771805329515639,7.89494343775136,0.710446805834653,0.018446975520427,0,0
zig-zag,gru,0.172879648001536,0.081634619714289,1.93663459913079,0.73931167449709,0.036891881253753,71168,1.45938491406123
zig-zag,lstm,0.168492635952762,0.081945329829357,2.22160351236672,0.662256761093691,0.017077333238783,84096,1.47942866524972
zig-zag,mobilevit,0.141080081686773,0.074936599688444,1.90105215073098,0.68979140014718,0.013741364869055,67312,1.73753493378608
zig-zag,transformer,0.13117500854106,0.073592067095375,1.75640606698181,0.57414946461079,0.013890883195378,103936,1.95052967602533
