model,pos_final,pos_mean,pos_max,yaw_rmse,speed_rmse,AUEC,drift_b,t_div
BASELINE,0.12063335024410894,0.05821179439229001,0.12063335024410894,0.046408159680232555,0.008085796947404876,0.10361699402053795,0.07357626017456574,
k=1,0.11940511196733411,0.05443916126416499,0.11940511196733411,0.043601716965843994,0.008085796947404876,0.09690170705232884,0.0745041684308428,
k=5,0.11896428989102534,0.05489189197052492,0.11896428989102534,0.04259112772471736,0.008085796947404876,0.09770756770966711,0.0732367553869588,
k=10,0.11948342687185289,0.056746467837071386,0.11948342687185289,0.05157607436033517,0.008085796947404876,0.10100871275219186,0.0730380542706879,
